# attribute, value, displayName, owner, requestable, SOXRelevant,Privileged,Exclude,en_US
# application=All Fusion Harvest Change Manager,,,,,,,,
memberOf,"CN=RL.App.Harvest.QLV_Mortgage.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_mortgage.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV Mortgage
memberOf,"CN=RL.App.Harvest.QLV_Risk.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_risk.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV Risk
memberOf,"CN=RL.App.Harvest.QLV_Wholesale.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qlv_wholesale.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLV Wholesale
memberOf,"CN=RL.App.Harvest.RDR.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.RDR.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: RDR
memberOf,"CN=rl.app.harvest.releasemgmnt.approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.releasemgmnt.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used execute functions for Release Management. Not used as approval to move packages.
memberOf,"CN=RL.App.Harvest.RJ.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.RJ.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: RJ
memberOf,"CN=RL.App.Harvest.SCT.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.SCT.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: SCT
memberOf,"CN=RL.App.Harvest.SD.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.SD.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: SD
memberOf,"CN=RL.APP.Harvest.AVP.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.APP.Harvest.AVP.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: AVP
memberOf,"CN=RL.App.Harvest.TechnologyApplications.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.TechnologyApplications.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: TechnologyApplications
memberOf,"CN=RL.App.Harvest.TechnologyRiskComplianceApplications.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.TechnologyRiskComplianceApplications.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: TechnologyRiskComplianceApplications
memberOf,"CN=RL.App.Harvest.TreasuryandPaymentsApplications.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.TreasuryandPaymentsApplications.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: TreasuryandPaymentsApplications
memberOf,"CN=RL.App.Harvest.TreasuryFinance.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.TreasuryFinance.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: TreasuryFinance
memberOf,"CN=RL.App.Harvest.TDX.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code RL.App.Harvest.TDX.Approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: TDX
memberOf,"CN=RL.App.Harvest.ETRM.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.etrm.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: ETRM
memberOf,"CN=RL.App.Harvest.H8V.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.h8v.approvers,A9SN3,TRUE,FALSE,FALSE,TRUE,Application Approvers used to approve packages to move to all environments: H8V
memberOf,"CN=rl.app.harvest.qaonly.approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qaonly.approvers,A9SN3,TRUE,FALSE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QA Only
memberOf,"CN=RL.App.Harvest.QLS_Mortgage.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.qls_mortgage.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: QLS Mortgage
memberOf,"CN=rl.app.harvest.scmleads.approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.scmleads.approvers,A9SN3,TRUE,TRUE,FALSE,FALSE,Application Approvers used to approve packages to move to all environments: SCM Leads
memberOf,"CN=RL.APP.Harvest.TR.Approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.tr.approvers,A9SN3,TRUE,FALSE,FALSE,TRUE,Application Approvers used to approve packages to move to all environments: TR
memberOf,"CN=rl.app.harvest.tr_ecm.approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.tr_ecm.approvers,A9SN3,TRUE,FALSE,FALSE,TRUE,Application Approvers used to approve packages to move to all environments: TR ECM
memberOf,"CN=rl.app.harvest.tr_eto.approvers,OU=Groups,DC=corp,DC=suntrust,DC=com",Approve Code rl.app.harvest.tr_eto.approvers,A9SN3,TRUE,FALSE,FALSE,TRUE,Application Approvers used to approve packages to move to all environments: TR ETO
memberOf,"CN=RL.App.Harvest.AB.Developers,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.harvest.ab.developers,A9SN3,TRUE,FALSE,FALSE,FALSE,Application Developers used to develop code to all Delivery Paths: AB
memberOf,"CN=RL.App.Harvest.ACA.Developers,OU=Groups,DC=corp,DC=suntrust,DC=com",Develop Code rl.app.harvest.aca.developers,A9SN3,TRUE,FALSE,FALSE,FALSE,Application Developers used to develop code to all Delivery Paths: ACA
